PubChemCID,M_Na_pred,Monoiso_Mass
2978,0.38844355162609184,314.22458
5610,0.0406737686949562,137.084064
8559,0.8451631187682768,250.120509
1576,0.06029993994580041,163.099714
3672,0.595300996449825,206.13068
4284,0.3602909250547184,191.131014
4632,0.45310950556702534,228.078644
1983,0.41642844978563476,151.063329
7204,0.7355703653591026,200.024022
185831,0.556233713456093,178.110613
182167,0.5924724901776793,192.126263
26295,0.5820097827488768,200.08373
19539,0.453526430196896,214.062994
8150,0.6556068562633455,134.094294
155385,0.5767743860928768,207.089543
2555,0.8205908929190497,252.089878
9212,0.17494061367360714,193.089149
3446,0.21562614552056888,171.125929
9294,0.1515539069475885,165.115364
3007,0.08158602169602447,135.104799
10836,0.07690069255101062,149.120449
92363,0.4198880706058611,149.084064
4761,0.21336279991156293,240.162649
6129,0.7093526703490859,201.078979
7560,0.5807573861411642,164.094963
15459,0.679771587512644,221.105193
5603,0.10829264462289379,115.1361
173313,0.11603305803685382,175.099714
200718,0.07492337218492706,173.120449
681,0.07568183444949649,153.078979
81897,0.5909929497713104,179.094629
11957,0.25640081114166047,136.063663
161283,0.1821936187529353,226.146999
12130,0.21266606291756496,130.110613
136530,0.21476717191438266,155.050177
70272,0.1907818173584747,141.034527
2244,0.5912736149093506,180.042259
1250,0.15103918515643033,218.141913
86862,0.17840513206744957,218.141913
123480,0.11191447762581763,115.1361
105039,0.2845502058168743,207.125929
5665,0.19758087521319578,129.078979
82023,0.12497266508666416,115.1361
8422,0.7246860193661961,202.062994
273827,0.31470768629464674,153.078979
19188,0.676656359539234,152.047344
7473,0.304737246227721,137.047678
8880,0.7543545654141454,103.063329
12177,0.4959206015593092,98.073165
1254,0.6383168742964691,156.151415
15538,0.6429013564660283,158.094294
8902,0.15589329334274726,101.120449
61018,0.2916559836094519,126.104465
24020,0.7380724491202477,130.09938
6893,0.18937060346101453,121.089149
18604,0.7124488895662707,212.214016
14899,0.8805025994410176,212.17763
64685,0.6356487552755951,154.135765
8201,0.7429605302040047,298.28718
7250,0.1692547034607188,121.089149
4059,0.7438062061881665,182.094294
7761,0.8534285511188532,160.073559
110729,0.7970741884026679,178.062994
66640,0.5012213453049708,197.032422
5801,0.06269199778267764,109.052764
62258,0.06409531151165038,149.084064
14327,0.15673868228733892,176.120115
17162,0.7497944404837356,186.16198
7421,0.13497511034266452,137.084064
7516,0.14703223014758224,108.068748
12374,0.6163677765205168,118.09938
12374,0.6163677765205168,118.09938
134459,0.7993368737956533,160.109944
21648,0.2782797351573496,164.08373
79329,0.304737246227721,171.008706
7902,0.293673320178651,89.084064
69687,0.29116349547113485,152.047344
7344,0.8416975832619529,118.062994
10787,0.24687571519995477,126.031694
31256,0.3966182802007696,116.08373
121583,0.6946731365747012,207.125929
72628,0.4154980708106214,198.115698
392707,0.7836688409133113,128.08373
121699,0.7391330094927201,130.062994
173719,0.57024328627062,158.094294
93000,0.7782136526366957,104.08373
92516,0.40719048470819585,152.08373
22129,0.23964913025966217,89.084064
122954,0.8484585700544056,168.11503
264,0.5940106944557129,88.052429
444539,0.3193585013135851,148.052429
1135,0.775003742416297,126.042927
7267,0.15429783535753616,122.073165
225215,0.8876301425907711,194.057909
17593,0.18698604853485212,122.084398
95471,0.2811732926427497,188.120115
229639,0.8273340839359989,179.094629
1292,0.6927383883965276,152.047344
8657,0.2813094436261725,134.10955
12989,0.7696134316473785,146.094294
7413,0.4657282931024922,128.08373
102491,0.6771339555247315,158.13068
31347,0.63283389971494,120.0245
7559,0.6962140229686603,150.06808
6404,0.5119008504908059,88.088815
34023,0.8693243514716869,144.078644
6934,0.37227696022805745,187.030314
24847,0.5954071097274404,158.167065
62817,0.5631241228172983,172.14633
7528,0.7962587708883654,132.078644
10907,0.30464935707449436,114.140851
7092,0.5771295988462309,160.052429
12393,0.8295860461109473,284.27153
7352,0.8091224627841492,142.09938
222661,0.5738044163792682,130.135765
8400,0.5513648779394322,212.08373
86208,0.47369859136935627,188.120115
16402,0.09988486426797782,116.131349
224393,0.5287185490294521,197.068808
9960,0.7422988314043287,88.052429
10807,0.7668276429710563,136.029107
7705,0.275812928455095,134.10955
25320,0.4463107325493229,174.16198
26049,0.2932245261318782,136.125201
12998,0.6463695292379481,158.094294
65526,0.18936586317870494,151.063329
2314,0.7949815651923784,223.084458
10254,0.4175991615619539,148.088815
111037,0.6385178485431745,196.14633
8572,0.18688491439378208,214.062994
121700,0.736226077833431,144.078644
155713,0.484783148502897,221.105193
92218,0.7410541995240009,166.09938
40007,0.6300712352025442,146.13068
22276,0.09824348497762936,149.120449
8738,0.8586899313807336,146.094294
26346,0.27197647200243646,314.22458
40632,0.49119603991910843,185.084064
15133,0.1035188916731089,136.100048
7720,0.563756415300153,130.135765
7720,0.563756415300153,130.135765
11976,0.3283285692752498,138.079313
15884,0.1574619920606617,178.135765
98230,0.5362637198290915,86.073165
8121,0.8584307560167527,146.057909
7343,0.8042133986751938,114.06808
78424,0.43008492783283275,223.099714
7967,0.24626586428535954,98.073165
7638,0.46599381865181083,200.08373
7424,0.34856394178371064,154.026609
423512,0.25492914935667627,193.110279
22278,0.43367234966394397,134.073165
21120,0.507995003667175,175.063329
11208,0.505482824537982,72.057515
24096,0.9169569518813154,286.214409
67068,0.5560929497157432,164.094963
7877,0.5883951444745209,127.099714
21122,0.3430613865409815,112.125201
160138,0.5789294700667496,196.14633
10747,0.6054850458763911,148.088815
10724,0.23236800520155143,146.073165
254178,0.6095329262119527,152.08373
7408,0.09264250943082075,121.089149
70701,0.8892546812169236,142.062994
2337,0.6249543092331679,165.078979
17111,0.6825092538101485,143.094629
338733,0.19121564673230643,220.182715
12385,0.23445932925897295,136.100048
90960,0.560868517418826,158.13068
10430,0.5427973255706163,102.06808
15612,0.8470963416810977,216.136159
7456,0.5210235452830975,152.047344
7360,0.752303873498331,102.06808
7062,0.10467918229574735,165.115364
8357,0.6689591522096123,212.068473
14543,0.16912928125318638,162.104465
6057,0.04939758072622635,181.073893
114683,0.12996867356025144,149.047678
11843,0.268361946835296,124.052429
75129,0.6112759957508782,126.104465
188653,0.827255630194512,274.19328
94411,0.40701547132265986,178.110613
458519,0.05872231515391224,177.115364
94403,0.789410069012263,264.20893
94111,0.8120046123547846,242.22458
7391,0.6591419635392756,156.151415
91587,0.6954278610419297,223.030314
14846,0.7603225672351442,90.06808
6839,0.5771798905026122,189.078979
8635,0.5448310287578095,151.063329
18938,0.5659438580252172,144.151415
6976,0.304737246227721,171.008706
62530,0.17411496791982328,206.167065
145087,0.24822733800639551,164.131349
85979,0.4612118457834484,148.088815
107,0.4766806205351676,150.06808
95750,0.6390018627042886,180.078644
11903,0.2813094436261725,120.0939
8054,0.7809377541492744,118.062994
12974,0.7370142691071118,154.062994
75899,0.16391745109444744,185.084064
77506,0.5675805999538561,200.08373
34521,0.7988073607480225,207.089543
12988,0.5676106182665108,86.073165
101330,0.5781839165143446,220.109944
8785,0.7853564812265018,150.06808
7422,0.304737246227721,137.047678
15816,0.6944932419502358,216.136159
175948,0.5594262006705598,178.135765
7175,0.6091320159449503,180.078644
94707,0.7355769391113144,186.16198
95332,0.5970472746205573,166.062994
11298,0.32949188727258805,152.058578
170509,0.4876242791136008,223.084458
95605,0.23077293982357425,134.10955
10698,0.139836168343202,136.088815
15595,0.64012026371886,184.182715
76372,0.11669687541719154,132.068748
31284,0.768853027153996,242.22458
165746,0.8738343416910486,184.14633
7962,0.26712003785546223,98.10955
6276,0.5933330381693629,88.088815
70452,0.16142747871515936,87.104799
69978,0.43111184687995713,126.06808
9017,0.7762842897396507,198.16198
111206,0.5047889211501231,86.073165
17100,0.3193847555258458,154.135765
17100,0.3193847555258458,154.135765
7471,0.20225625242728865,135.104799
31217,0.6393964056968653,150.06808
17072,0.5888693945299832,144.151415
9246,0.5280384914271659,98.073165
86079,0.7581803324013203,116.047344
18360,0.7456136123863656,206.13068
7561,0.8551474977776915,168.11503
12100,0.2664154579068496,120.0939
101087,0.7682592718811155,270.25588
18066,0.06991624330366819,147.104799
75084,0.9084000681830683,240.20893
12059,0.1820186480009832,136.088815
10687,0.16630724651942771,122.073165
102688,0.30134515873242707,193.110279
6492,0.2415932730800593,132.0939
76997,0.4031685455339464,208.14633
97354,0.6476805368869741,242.13068
98076,0.7000339330283555,146.13068
84474,0.14106476905857335,171.104799
107176,0.6926051887857684,314.24571
94543,0.7206134067690756,250.19328
17291,0.7889904175755522,104.08373
74711,0.6898644891696564,140.047344
18054,0.09264250943082075,135.104799
6991,0.2947553856512921,151.063329
223943,0.7958569844266019,165.078979
1182,0.1580511858257816,117.078979
79196,0.146821448730041,114.115698
75089,0.3179359419051362,164.094963
21859,0.5645167461452278,284.27153
31341,0.6940116338639563,204.11503
4762,0.2082677473174137,177.115364
8087,0.7578902583245908,134.094294
68384,0.09706095895973699,167.094629
96007,0.42466795046943506,165.078979
62184,0.7988709207594898,196.14633
8023,0.6248888169735602,72.057515
108835,0.6376053375129455,157.073893
9016,0.5499135943643437,138.06808
7508,0.3812338442086023,110.073165
7048,0.4232780596926109,153.042593
994,0.11150158142154454,165.078979
20161,0.6726738133991558,180.078644
169922,0.8240434732943431,130.062994
8914,0.658439895112154,144.151415
90536,0.23367401517344089,163.1361
13381,0.4300717232227806,140.156501
8471,0.19485311910227954,101.120449
31275,0.5215787114255697,88.052429
124033,0.5431347165077571,234.16198
12075,0.3408781113239757,182.032757
3282,0.6844232818672548,165.078979
157568,0.5609138335498177,100.052429
31229,0.6286745555835438,136.052429
18632,0.6129452301101176,72.057515
12160,0.2664154579068496,120.0939
24752,0.7899870646847065,190.156895
5931,0.08858083963620267,123.068414
14242,0.8025737139611234,160.073559
13205,0.2592098414554376,122.084398
14310,0.15013379427918297,149.120449
31214,0.6871275384748707,148.109944
12217,0.8019964364987496,144.11503
81531,0.16442416222099207,129.15175
5827,0.730468713616678,165.078979
18510,0.8640801883748196,226.19328
7000,0.26892273563519986,123.068414
17858,0.7124488895662707,184.182715
103660,0.28767236785857964,166.135765
2758,0.4283007067336999,154.135765
79594,0.5876949898177254,192.11503
64832,0.4658577896656819,190.135765
7355,0.8731152542163533,198.089209
17869,0.5794883900679194,157.110279
117549,0.324995126379359,152.120115
8680,0.2780699171246359,134.10955
21872,0.5594162009948627,140.08373
8105,0.6485584720409111,104.08373
64782,0.17890400547362384,179.131014
61196,0.8169643163430738,214.156895
247470,0.6770886747860317,104.08373
7112,0.1858752085232359,186.06808
7674,0.516334696938096,122.073165
12597,0.8265988990792966,146.057909
7838,0.7954992916827974,114.06808
10413,0.7367336130661427,104.047344
6932,0.4544268097921695,180.11503
6974,0.304737246227721,151.063329
34277,0.8394073834075391,418.30831
8441,0.7000051660806015,194.057909
9268,0.28588863882311855,168.187801
32802,0.6721444491625275,178.062994
20209,0.4952755135972277,150.044757
113033,0.21420776951657175,155.050177
6862,0.5090901999454329,186.06808
14759,0.16290421549448209,178.135765
31236,0.5924259290976244,138.06808
109234,0.42287414261954437,254.22458
122903,0.6204459081950529,168.042259
10108,0.28201616978202226,138.104465
62335,0.8368323989280684,198.16198
77116,0.6623841560663586,152.058578
82735,0.33885411446244806,141.115364
13187,0.40402038490340686,142.135765
12082,0.537705609827725,151.063329
7510,0.2556982988444987,109.052764
10734,0.17480056568112223,193.146664
10601,0.7612260537539337,128.047344
61236,0.1805824913507289,87.104799
7813,0.17604742401079898,107.073499
4770,0.7457662680381344,179.094629
6946,0.21910397792927716,138.042927
7897,0.7327483949573438,88.052429
7900,0.7594042851494764,90.06808
978,0.21905405561136845,137.047678
8133,0.7275745969945889,118.09938
8133,0.7275745969945889,118.09938
6145,0.46463752444827783,136.063663
7249,0.17486644456600486,122.073165
76288,0.18076121510386334,115.099714
3611,0.4620239920892328,164.08373
107217,0.8352507483200002,196.14633
7392,0.30528714853621386,154.135765
79336,0.530525377690246,209.068808
7455,0.681691941687438,150.06808
178096,0.1236310965226274,122.084398
14896,0.3136778796466726,136.125201
107166,0.6255294537815276,236.214016
269722,0.20509878893731048,192.126263
16993,0.7124488895662707,156.151415
99563,0.49525766257301057,222.198365
7997,0.7835318039199107,102.06808
17429,0.330699666837857,113.084064
20524,0.6901983656592259,118.09938
6975,0.304737246227721,171.008706
81412,0.7331573700753903,179.094629
12370,0.34135241549899686,110.10955
31344,0.6597597256310116,104.08373
6271,0.24168534777292305,150.06808
7447,0.42372214819296333,168.053492
24250,0.11106791438299113,144.162649
8128,0.21384109614895042,108.068748
89440,0.28662303325611704,258.198365
31244,0.5948012163334895,136.052429
69133,0.22282885852327872,150.06808
12138,0.1502424783656072,212.131349
81530,0.7551640756197218,125.047678
101977,0.5442249121766577,156.151415
25068,0.8642600484075025,242.22458
7577,0.1439500106453322,198.115698
31225,0.7614401434239118,178.09938
15684,0.3346843602185725,175.97957
7061,0.1700829204143013,149.120449
92259,0.3945752865530015,203.131014
12724,0.38198535583473037,84.0939
102972,0.2060081623846195,206.167065
997,0.5719200427555119,164.047344
11345,0.28825102722583074,162.140851
61386,0.7706479232913284,270.25588
17595,0.4667044831615295,113.084064
7120,0.15703141134092946,164.131349
11966,0.4747903494057547,194.094294
37906,0.06972675526927363,235.157229
91538,0.7506079276477527,114.06808
114570,0.34728885453079883,152.120115
17808,0.6519505586104749,192.089878
7302,0.716160640187552,86.036779
6548,0.36250814733859155,158.167065
184900,0.6241168409031234,212.068473
17756,0.7003182738092462,104.08373
7436,0.096635604889875,181.073893
135290,0.4271972046382215,252.089878
8717,0.15827771806853505,135.104799
110655,0.8703733294770346,192.11503
26181,0.5737362835415187,167.058243
7991,0.5905773467648311,102.06808
650,0.6119493335623122,86.036779
15118,0.13971107129496596,134.073165
8132,0.2056317827154407,117.115364
8257,0.3343234798981207,86.073165
69311,0.6871275384748707,190.156895
21768,0.24645197953076659,149.120449
904,0.541076033672992,135.068414
7439,0.26824498742054703,150.104465
102779,0.6734271339571166,190.135765
8092,0.6788886188842483,154.09938
261491,0.31593899518821633,152.120115
10817,0.5132185284786585,136.088815
440266,0.18236088177234477,153.078979
11684,0.5349753738782165,116.08373
3314,0.5057866275548527,164.08373
8080,0.5438489199599946,84.057515
21210,0.7895606552437705,132.11503
136843,0.35646871483719145,167.094629
8175,0.5630089766802461,156.151415
69144,0.2880486909014257,148.088815
