PubChemCID,M_Na_pred,Monoiso_Mass
2978,0.13133747928429573,314.22458
5610,0.42823380554852686,137.084064
8559,0.839734499176959,250.120509
1576,0.11320762668966844,163.099714
3672,0.7920768383441406,206.13068
4284,0.5885509002985754,191.131014
4632,0.22589090457501718,228.078644
1983,0.21810966734907533,151.063329
7204,0.6082662340572542,200.024022
185831,0.7489359389046429,178.110613
182167,0.7884492330366384,192.126263
26295,0.6468737316807699,200.08373
19539,0.42022556912126774,214.062994
8150,0.6804702292052297,134.094294
155385,0.6143659687856445,207.089543
2555,0.8728391406778754,252.089878
9212,0.15256657314920252,193.089149
3446,0.04642321501648583,171.125929
9294,0.08718795758254183,165.115364
3007,0.23584935326498627,135.104799
10836,0.1672006131112178,149.120449
92363,0.5157302192996522,149.084064
4761,0.11765009690649651,240.162649
6129,0.7928241491491305,201.078979
7560,0.7622066474575017,164.094963
15459,0.6273456544148142,221.105193
5603,0.08898682096045729,115.1361
173313,0.3197026519499073,175.099714
200718,0.17805577395100658,173.120449
681,0.32391848919315003,153.078979
81897,0.54635923144432,179.094629
11957,0.1521700915965183,136.063663
161283,0.0659596529802342,226.146999
12130,0.39777178629675447,130.110613
136530,0.18374376676841284,155.050177
70272,0.08783957648518537,141.034527
2244,0.2720853706609119,180.042259
1250,0.29691163081832683,218.141913
86862,0.6010820731464338,218.141913
123480,0.22712183407454378,115.1361
105039,0.2830554769550033,207.125929
5665,0.2809324660675607,129.078979
82023,0.24455873616401114,115.1361
8422,0.7280396985479677,202.062994
273827,0.11187921487159615,153.078979
19188,0.5203095399961563,152.047344
7473,0.2674892886348461,137.047678
8880,0.8020399879249157,103.063329
12177,0.46104399684512043,98.073165
1254,0.6538553605836104,156.151415
15538,0.8555404783020043,158.094294
8902,0.24457600054104323,101.120449
61018,0.4958772967582165,126.104465
24020,0.8065522317144734,130.09938
6893,0.22199481509444174,121.089149
18604,0.5835447237637591,212.214016
14899,0.7062600600018721,212.17763
64685,0.6174968186915982,154.135765
8201,0.5715559794058003,298.28718
7250,0.21062621156958283,121.089149
4059,0.29477146442217694,182.094294
7761,0.9337211277283033,160.073559
110729,0.9346271254908559,178.062994
66640,0.8955828195071294,197.032422
5801,0.07647929598902181,109.052764
62258,0.13490450674415397,149.084064
14327,0.34549313042786833,176.120115
17162,0.7895843221237775,186.16198
7421,0.13249228780713218,137.084064
7516,0.15178054562809673,108.068748
12374,0.6970115415424685,118.09938
12374,0.6970115415424685,118.09938
134459,0.9045457078743578,160.109944
21648,0.2607897200501772,164.08373
79329,0.2674892886348461,171.008706
7902,0.10381259821647582,89.084064
69687,0.24934631631463663,152.047344
7344,0.739586206761928,118.062994
10787,0.04968102788589346,126.031694
31256,0.8497632910007191,116.08373
121583,0.8044038148540739,207.125929
72628,0.5228013916459631,198.115698
392707,0.8149901394489294,128.08373
121699,0.8940705264289585,130.062994
173719,0.7349827964464856,158.094294
93000,0.8046516743328903,104.08373
92516,0.3797853897261352,152.08373
22129,0.21212987900490207,89.084064
122954,0.9007217190443432,168.11503
264,0.5024064296233338,88.052429
444539,0.25228371561074214,148.052429
1135,0.7928965285231097,126.042927
7267,0.24108805395679792,122.073165
225215,0.8582621939366321,194.057909
17593,0.19697525726212506,122.084398
95471,0.351898556332606,188.120115
229639,0.7649143616864746,179.094629
1292,0.792869820502598,152.047344
8657,0.3205503927665496,134.10955
12989,0.8828262025439636,146.094294
7413,0.2563743352647694,128.08373
102491,0.59646921677634,158.13068
31347,0.6557513997603518,120.0245
7559,0.8857135231872664,150.06808
6404,0.5316593640991866,88.088815
34023,0.5750166004412558,144.078644
6934,0.1945487175233399,187.030314
24847,0.6032013281974407,158.167065
62817,0.36815912470558154,172.14633
7528,0.6020298856463382,132.078644
10907,0.5949489710076167,114.140851
7092,0.24044077247541584,160.052429
12393,0.81606135624498,284.27153
7352,0.6356348298906164,142.09938
222661,0.6127803833469734,130.135765
8400,0.47876506249410306,212.08373
86208,0.5544662620798773,188.120115
16402,0.1235227316698233,116.131349
224393,0.385063982265167,197.068808
9960,0.5869524659576603,88.052429
10807,0.7376189252561692,136.029107
7705,0.4038641231972228,134.10955
25320,0.7787364780344285,174.16198
26049,0.2949511099241009,136.125201
12998,0.6412628058741502,158.094294
65526,0.10703635115133003,151.063329
2314,0.6935409269271402,223.084458
10254,0.3013841037212738,148.088815
111037,0.5656642835195176,196.14633
8572,0.16099277653417443,214.062994
121700,0.8484682628649517,144.078644
155713,0.2118949600933613,221.105193
92218,0.7687965850074919,166.09938
40007,0.6677117280346758,146.13068
22276,0.15409155594928245,149.120449
8738,0.7774425927729544,146.094294
26346,0.259982533465559,314.22458
40632,0.5305694464274374,185.084064
15133,0.3531550516034825,136.100048
7720,0.5739838075427007,130.135765
7720,0.5739838075427007,130.135765
11976,0.18328091931763746,138.079313
15884,0.1182501183102239,178.135765
98230,0.5488103736871439,86.073165
8121,0.7928954300846842,146.057909
7343,0.6218564747913138,114.06808
78424,0.1640559557588568,223.099714
7967,0.1255004669155032,98.073165
7638,0.44075856683650483,200.08373
7424,0.22256905852007502,154.026609
423512,0.6146816389155141,193.110279
22278,0.28670159756003116,134.073165
21120,0.7299499001502493,175.063329
11208,0.5016284658124366,72.057515
24096,0.887771304260352,286.214409
67068,0.8517557061376392,164.094963
7877,0.6445050897743096,127.099714
21122,0.7447303128923356,112.125201
160138,0.5161145714722365,196.14633
10747,0.7237659584227379,148.088815
10724,0.15329076420554943,146.073165
254178,0.6345106912861075,152.08373
7408,0.2392010499726187,121.089149
70701,0.9313444028195664,142.062994
2337,0.7956576675469662,165.078979
17111,0.11120618143555427,143.094629
338733,0.28801206300186677,220.182715
12385,0.2616856628666193,136.100048
90960,0.45485331378223015,158.13068
10430,0.6226359998609761,102.06808
15612,0.5923235218135623,216.136159
7456,0.6743594410930559,152.047344
7360,0.6310530297751977,102.06808
7062,0.09945632361215907,165.115364
8357,0.7132686120770638,212.068473
14543,0.1709873651329861,162.104465
6057,0.2180015949058732,181.073893
114683,0.0739523368318824,149.047678
11843,0.16169448462971306,124.052429
75129,0.44106085162830444,126.104465
188653,0.7304268451462562,274.19328
94411,0.6819538081963854,178.110613
458519,0.11861676917664743,177.115364
94403,0.8863065933002132,264.20893
94111,0.8003287763994092,242.22458
7391,0.6021114554112389,156.151415
91587,0.6794913032734058,223.030314
14846,0.7171310099918408,90.06808
6839,0.9475592797323058,189.078979
8635,0.601143345717581,151.063329
18938,0.6724168159029607,144.151415
6976,0.2674892886348461,171.008706
62530,0.27395280353666474,206.167065
145087,0.4102613721738504,164.131349
85979,0.500419658222175,148.088815
107,0.6733000225129349,150.06808
95750,0.7742512516337899,180.078644
11903,0.3205503927665496,120.0939
8054,0.6813584252386884,118.062994
12974,0.5907094934958201,154.062994
75899,0.3647087380615404,185.084064
77506,0.29069479486849237,200.08373
34521,0.6295261740101671,207.089543
12988,0.7367599346658854,86.073165
101330,0.6252185470734635,220.109944
8785,0.8045648561601298,150.06808
7422,0.2674892886348461,137.047678
15816,0.21378678755185998,216.136159
175948,0.6483942634341322,178.135765
7175,0.792848986575677,180.078644
94707,0.7448459890356487,186.16198
95332,0.5458660908427766,166.062994
11298,0.29641472493834553,152.058578
170509,0.06322599218634117,223.084458
95605,0.2829757881437529,134.10955
10698,0.10143696285124315,136.088815
15595,0.5772998631129809,184.182715
76372,0.14064185003287655,132.068748
31284,0.4521610358038466,242.22458
165746,0.7193781172465264,184.14633
7962,0.2940800842013719,98.10955
6276,0.5596021582525545,88.088815
70452,0.18148614438306998,87.104799
69978,0.5034337290900297,126.06808
9017,0.8941493436622804,198.16198
111206,0.4771873528277126,86.073165
17100,0.21798343532299747,154.135765
17100,0.21798343532299747,154.135765
7471,0.23340604573826385,135.104799
31217,0.24455552018378257,150.06808
17072,0.6051749087401119,144.151415
9246,0.37786408954029577,98.073165
86079,0.29894779764944124,116.047344
18360,0.34293470242196644,206.13068
7561,0.652557023345387,168.11503
12100,0.3398359811327649,120.0939
101087,0.7880387307766831,270.25588
18066,0.15426818427114183,147.104799
75084,0.643516283854459,240.20893
12059,0.19479680107304576,136.088815
10687,0.18993953363357607,122.073165
102688,0.3410289519995102,193.110279
6492,0.3160101843492551,132.0939
76997,0.5342205945096349,208.14633
97354,0.5708483881892649,242.13068
98076,0.8089290391010052,146.13068
84474,0.1749553497295313,171.104799
107176,0.804226784794178,314.24571
94543,0.5179701068990039,250.19328
17291,0.8457735949316829,104.08373
74711,0.2501281409997156,140.047344
18054,0.2392010499726187,135.104799
6991,0.36180433418852853,151.063329
223943,0.7535688079012698,165.078979
1182,0.20501079794874544,117.078979
79196,0.1338183750769384,114.115698
75089,0.7985918051371487,164.094963
21859,0.44179024410950896,284.27153
31341,0.5933569747145613,204.11503
4762,0.052175508199973186,177.115364
8087,0.7714896273771484,134.094294
68384,0.28249291569956947,167.094629
96007,0.4792134213876807,165.078979
62184,0.9292397451883804,196.14633
8023,0.5028087701050468,72.057515
108835,0.4688395175083289,157.073893
9016,0.2770564575014576,138.06808
7508,0.626778017582555,110.073165
7048,0.1521374538713538,153.042593
994,0.18478689327923048,165.078979
